aasqa,date_maj,code_no2,code_o3,code_pm10,code_pm25,code_qual,code_so2,code_zone,coul_qual,date_dif,date_ech,epsg_reg,lib_qual,lib_zone,source,type_zone,x_reg,x_wgs84,y_reg,y_wgs84,gml_id2
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,69173,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Sarcey,Atmo Auvergne-Rhône-Alpes,commune,820802.0,4.5575621865369,6532205.3,45.8787934706773,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,69174,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Les Sauvages,Atmo Auvergne-Rhône-Alpes,commune,806627.9,4.37594647157235,6537096.5,45.925201554436,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,69175,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Savigny,Atmo Auvergne-Rhône-Alpes,commune,822393.3,4.57631525548942,6525370.6,45.816975347586,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,69176,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Soucieu-en-Jarrest,Atmo Auvergne-Rhône-Alpes,commune,832459.5,4.70166922682969,6510052.4,45.6771851718953,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,69177,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Sourcieux-les-Mines,Atmo Auvergne-Rhône-Alpes,commune,826070.9,4.62334382304343,6524152.6,45.805338708247,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,69178,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Souzy,Atmo Auvergne-Rhône-Alpes,commune,812728.4,4.44889031049044,6512763.6,45.7051386304532,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,69179,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Saint-Andéol-le-Château,Atmo Auvergne-Rhône-Alpes,commune,832220.3,4.69576163690877,6499772.8,45.5846871834308,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,69180,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Saint-André-la-Côte,Atmo Auvergne-Rhône-Alpes,commune,824586.6,4.59915352758502,6504657.7,45.6300991403223,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,69181,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Saint-Appolinaire,Atmo Auvergne-Rhône-Alpes,commune,810289.9,4.42452159819706,6542810.5,45.9760628906178,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,69182,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Saint-Bonnet-des-Bruyères,Atmo Auvergne-Rhône-Alpes,commune,813185.5,4.46980721072345,6575648.6,46.2712382488278,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,69183,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Saint-Bonnet-le-Troncy,Atmo Auvergne-Rhône-Alpes,commune,810168.3,4.42574355537132,6554784.6,46.0838908420702,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,69184,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Sainte-Catherine,Atmo Auvergne-Rhône-Alpes,commune,822495.1,4.5714414307379,6501237.99999999,45.5996897621801,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,69186,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Saint-Clément-de-Vers,Atmo Auvergne-Rhône-Alpes,commune,808142.7,4.40317296779872,6570606.3,46.2266669194785,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,69187,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Saint-Clément-les-Places,Atmo Auvergne-Rhône-Alpes,commune,810700.5,4.4240530804944,6518033.99999999,45.7529222208874,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,69188,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Saint-Clément-sur-Valsonne,Atmo Auvergne-Rhône-Alpes,commune,812655.7,4.4537278404411,6537157.99999999,45.9247827417648,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,69189,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Sainte-Colombe,Atmo Auvergne-Rhône-Alpes,commune,845742.4,4.86720595115662,6493445.3,45.5249773438554,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,69190,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Sainte-Consorce,Atmo Auvergne-Rhône-Alpes,commune,831390.7,4.69092813919366,6520905.5,45.7751000758982,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,69191,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Saint-Cyr-au-Mont-d'Or,Atmo Auvergne-Rhône-Alpes,commune,841095.7,4.81718388703056,6525633.8,45.8157262936238,
